id,customer_message,true_intent,predicted_intent,intent_confidence,retrieval_similarity,decision,reason,generated_response,evidence_customer,evidence_response,human_relevance,human_groundedness,human_helpfulness,human_appropriateness,human_overall,human_notes
1606840,"i mean, it’s silly to return. it’s still read-able. just surprising.",return_refund,return_refund,0.3621508660669035,1.0000000000000002,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. Thanks for the information. Let's explore your return or replacement options here:,"i mean, it’s silly to return. it’s still read-able. just surprising.",Thanks for the information. Let's explore your return or replacement options here:,,,,,,
1166665,The most recent is that it will be here tomorrow. The only other update is that it left the facility Monday 10/23,order_delivery,order_delivery,0.3081895035291127,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. I understand your frustration. What's the most recent tracking update for the shipment?,The most recent is that it will be here tomorrow. The only other update is that it left the facility Monday 10/23,I understand your frustration. What's the most recent tracking update for the shipment?,,,,,,
1055245,"I cancelled but no refund was offered as my previous whinge was ignored. It's a pretty skanky way to get new customers, don't you think?",return_refund,return_refund,0.3461851418198701,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. Apologies Janet. Have you since cancelled? Has a refund been processed?,"I cancelled but no refund was offered as my previous whinge was ignored. It's a pretty skanky way to get new customers, don't you think?",Apologies Janet. Have you since cancelled? Has a refund been processed?,,,,,,
257182,I got an email from customer service. Thank you!,customer_service,customer_service,0.3207792227692417,1.0000000000000002,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,"Thanks for reaching out. We will certainly do what we can to help, Austin! Let's look into our options for lost gift cards:",I got an email from customer service. Thank you!,"We will certainly do what we can to help, Austin! Let's look into our options for lost gift cards:",,,,,,
529206,I contacted customer service team and got it resolved. Thanks.,general_feedback,general_feedback,0.2978391309346422,1.0000000000000002,ESCALATE,low intent confidence,Thanks for reaching out. Please login to you Amazon account using the same credentials. If you are trying to log in using a different account your Prime membership will not show. If the problem still persists you can contact our customer service team here:,I contacted customer service team and got it resolved. Thanks.,Please login to you Amazon account using the same credentials. If you are trying to log in using a different account your Prime membership will not show. If the problem still persists you can contact our customer service team here:,,,,,,
828308,I have already given all the info as asked by link sent by Akshya. Ask your courier to collect your return package from my house.,return_refund,return_refund,0.3559837657634204,1.0000000000000002,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. Please share your info through a desktop/laptop only. (2/2),I have already given all the info as asked by link sent by Akshya. Ask your courier to collect your return package from my house.,Please share your info through a desktop/laptop only. (2/2),,,,,,
96803,#LGQ6AppQuiz still not yet listed in your link.,general_feedback,general_feedback,0.2146916940370004,0.9999999999999998,ESCALATE,low intent confidence,"Thanks for reaching out. Winners for the #LGQ6AppQuiz contest will be announced by November 30, 2017.",#LGQ6AppQuiz still not yet listed in your link.,"Winners for the #LGQ6AppQuiz contest will be announced by November 30, 2017.",,,,,,
2584143,Not yet shipped,order_delivery,order_delivery,0.3313203559357661,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,"Thanks for reaching out. Has the item already shipped? If not, please visit: If it has shipped, please let us know!",It has already shipped.,"Has the item already shipped? If not, please visit: If it has shipped, please let us know!",,,,,,
522470,do you need a photo for more help with figureing what im talking about?,customer_service,customer_service,0.2348829778442644,1.0,ESCALATE,low intent confidence,"Thanks for reaching out. Hi Rich, are these from our App store? If so, they will be fine to use.",do you need a photo for more help with figureing what im talking about?,"Hi Rich, are these from our App store? If so, they will be fine to use.",,,,,,
63996,yes i have provided the details on link provided #amazonfails,customer_service,customer_service,0.2761334403198953,1.0000000000000002,ESCALATE,low intent confidence,Thanks for reaching out. We understand your concern regarding Amazon Pay. Could you please confirm if you have shared the details on the link provided earlier.,yes i have provided the details on link provided #amazonfails,We understand your concern regarding Amazon Pay. Could you please confirm if you have shared the details on the link provided earlier.,,,,,,
1735581,Can you track where my parcel is actually held?,order_delivery,order_delivery,0.2423644870603544,1.0,ESCALATE,low intent confidence,Thanks for reaching out. I've also responded to your DM.,Can you track where my parcel is actually held?,I've also responded to your DM.,,,,,,
544422,"According to UPS, the truck was not processed when it arrived in Jacksonville on the 28th. It was not processed until today. It is scheduled to arrive on Tuesday.",order_delivery,order_delivery,0.3009442237148608,1.0000000000000002,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. Oh my goodness! I'm sorry about this inconvenience. Please let us know if the package does arrive today as the updated delivery date shows. We are here to help.,"According to UPS, the truck was not processed when it arrived in Jacksonville on the 28th. It was not processed until today. It is scheduled to arrive on Tuesday.",Oh my goodness! I'm sorry about this inconvenience. Please let us know if the package does arrive today as the updated delivery date shows. We are here to help.,,,,,,
2142449,"it doesnt appear so, but ive been having the package drying. im dissapointed that i got a notification so late after delivery though",order_delivery,order_delivery,0.2863729117143916,1.0,ESCALATE,low intent confidence,Thanks for reaching out. Sorry to hear it John- Have the items also gotten wet?,"it doesnt appear so, but ive been having the package drying. im dissapointed that i got a notification so late after delivery though",Sorry to hear it John- Have the items also gotten wet?,,,,,,
283110,Can u plz tell me ur policies for customers if customers is having problem continosly.,customer_service,customer_service,0.2668118833392688,1.0000000000000002,ESCALATE,low intent confidence,Thanks for reaching out. I'll ensure to share your feedback internally to work on.,Can u plz tell me ur policies for customers if customers is having problem continosly.,I'll ensure to share your feedback internally to work on.,,,,,,
493275,I told you I have done that. Hope it’s clear.,customer_service,customer_service,0.2242347110651126,1.0,ESCALATE,low intent confidence,Thanks for reaching out. Kindly share your details via the above link. We'll check this for you.,I told you I have done that. Hope it’s clear,Kindly share your details via the above link. We'll check this for you.,,,,,,
1243789,Thank you for your answer ;),general_feedback,general_feedback,0.4117478148807142,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. You'll have the option to remove Special Offers for a 10GBP fee whenever you'd like! More info here:,Thank you for your answer ;),You'll have the option to remove Special Offers for a 10GBP fee whenever you'd like! More info here:,,,,,,
